fecha,Estación,Precipitación
2011-03-16,6º Distrito - Comisaría Nº 17 (3 Boc.),---mm
2011-03-16,7º Distrito - Comisaría Nº 28,---mm
2011-03-16,8º Distrito - Comisaría Nº 27,---mm
2011-03-16,Gral. Galarza - Comisaría,---mm
2011-03-16,Gualeguay Ciudad - Bomberos Voluntarios,---mm
2011-03-16,Lazo - Comisaría,---mm
2011-03-16,Puerto Ruiz - Comisaría,---mm
2011-03-17,3º Distrito - Aldea Asunción,---mm
2011-03-17,6º Distrito - Comisaría Nº 17 (3 Boc.),---mm
2011-03-17,7º Distrito - Comisaría Nº 28,---mm
2011-03-17,8º Distrito - Comisaría Nº 27,---mm
2011-03-17,Gral. Galarza - Comisaría,---mm
2011-03-17,Gualeguay Ciudad - Bomberos Voluntarios,---mm
2011-03-17,Lazo - Comisaría,---mm
2011-03-17,Puerto Ruiz - Comisaría,---mm
2011-03-23,3º Distrito - Aldea Asunción,62mm
2011-03-23,6º Distrito - Comisaría Nº 17 (3 Boc.),59mm
2011-03-23,7º Distrito - Comisaría Nº 28,55mm
2011-03-23,8º Distrito - Comisaría Nº 27,56mm
2011-03-23,Gral. Galarza - Comisaría,54mm
2011-03-23,Gualeguay Ciudad - Bomberos Voluntarios,53mm
2011-03-23,Lazo - Comisaría,55mm
2011-03-23,Puerto Ruiz - Comisaría,---mm
2011-03-24,3º Distrito - Aldea Asunción,20mm
2011-03-24,6º Distrito - Comisaría Nº 17 (3 Boc.),25mm
2011-03-24,7º Distrito - Comisaría Nº 28,---mm
2011-03-24,8º Distrito - Comisaría Nº 27,6mm
2011-03-24,Gral. Galarza - Comisaría,30mm
2011-03-24,Gualeguay Ciudad - Bomberos Voluntarios,13mm
2011-03-24,Lazo - Comisaría,---mm
2011-03-24,Puerto Ruiz - Comisaría,---mm
2011-03-26,3º Distrito - Aldea Asunción,---mm
2011-03-26,6º Distrito - Comisaría Nº 17 (3 Boc.),---mm
2011-03-26,7º Distrito - Comisaría Nº 28,---mm
2011-03-26,8º Distrito - Comisaría Nº 27,---mm
2011-03-26,Gral. Galarza - Comisaría,---mm
2011-03-26,Gualeguay Ciudad - Bomberos Voluntarios,---mm
2011-03-26,Lazo - Comisaría,---mm
2011-03-26,Puerto Ruiz - Comisaría,---mm
2011-04-02,3º Distrito - Aldea Asunción,---mm
2011-04-02,6º Distrito - Comisaría Nº 17 (3 Boc.),---mm
2011-04-02,7º Distrito - Comisaría Nº 28,---mm
2011-04-02,8º Distrito - Comisaría Nº 27,---mm
2011-04-02,Gral. Galarza - Comisaría,---mm
2011-04-02,Gualeguay Ciudad - Bomberos Voluntarios,---mm
2011-04-02,Lazo - Comisaría,---mm
2011-04-02,Puerto Ruiz - Comisaría,---mm
2011-04-03,3º Distrito - Aldea Asunción,---mm
2011-04-03,6º Distrito - Comisaría Nº 17 (3 Boc.),4mm
2011-04-03,7º Distrito - Comisaría Nº 28,---mm
2011-04-03,8º Distrito - Comisaría Nº 27,---mm
2011-04-03,Gral. Galarza - Comisaría,---mm
